Topic,Count,Name,Representation,Representative_Docs
-1,108,-1_average_overall_satisfactory_unhelpful,"['average', 'overall', 'satisfactory', 'unhelpful', 'music', 'crowd', 'treadmill', 'ok', 'class', 'shower']","['overall music average ok', 'overall class satisfactory average', 'overall music average satisfactory']"
0,248,0_sanitizer_ok_think_improve,"['sanitizer', 'ok', 'think', 'improve', 'could', 'unhelpful', 'dirty', 'overall', 'find', 'frustrating']","['sanitizer crowd', 'sanitizer crowd', 'sanitizer crowd']"
1,210,1_shower_equipment_work_could,"['shower', 'equipment', 'work', 'could', 'improve', 'think', 'dirty', 'find', 'frustrate', 'satisfactory']","['shower crowd', 'shower crowd', 'shower crowd']"
2,169,2_ac_average_find_break,"['ac', 'average', 'find', 'break', 'today', 'frustrating', 'dirty', 'ok', 'overall', 'decent']","['think ac could improve', 'think ac could improve', 'think ac could improve']"
3,159,3_help_staff_think_improve,"['help', 'staff', 'think', 'improve', 'could', 'crowd', 'weight', 'equipment', 'work', 'class']","['think crowd could improve staff help', 'think crowd could improve staff help', 'think crowd could improve staff help']"
4,152,4_treadmill_could_improve_think,"['treadmill', 'could', 'improve', 'think', 'decent', 'satisfactory', 'find', 'frustrate', 'today', 'help']","['think treadmill could improve', 'think treadmill could improve', 'think treadmill could improve']"
5,146,5_weight_average_frustrate_decent,"['weight', 'average', 'frustrate', 'decent', 'satisfactory', 'find', 'ok', 'today', 'overall', 'break']","['find weight average today', 'find weight average today', 'find weight average today']"
6,139,6_locker_room_frustrate_ok,"['locker', 'room', 'frustrate', 'ok', 'average', 'find', 'unhelpful', 'today', 'satisfactory', 'overall']","['locker room crowd', 'locker room crowd', 'locker room crowd']"
7,95,7_music_find_decent_today,"['music', 'find', 'decent', 'today', 'frustrating', 'ok', 'average', 'break', 'frustrate', 'unhelpful']","['find music decent today', 'find music decent today', 'find music decent today']"
8,92,8_crowd_decent_ok_find,"['crowd', 'decent', 'ok', 'find', 'today', 'average', 'satisfactory', 'overall', 'unhelpful', 'frustrate']","['find crowd crowd today', 'find crowd crowd today', 'find crowd crowd today']"
9,81,9_found_staff_unhelpful_today,"['found', 'staff', 'unhelpful', 'today', 'decent', 'frustrating', 'ok', 'break', 'frustrate', 'broken']","['found staff unhelpful today', 'found staff unhelpful today', 'found staff unhelpful today']"
10,73,10_class_break_frustrate_find,"['class', 'break', 'frustrate', 'find', 'today', 'decent', 'unhelpful', 'broken', 'average', 'overall']","['find class break today', 'find class break today', 'find class break today']"
11,54,11_staff_found_dirty_crowd,"['staff', 'found', 'dirty', 'crowd', 'overall', 'today', 'frustrating', 'break', 'broken', 'unhelpful']","['overall staff crowd dirty', 'overall staff crowd dirty', 'overall staff crowd dirty']"
12,45,12_room_locker_think_improve,"['room', 'locker', 'think', 'improve', 'could', 'work', 'equipment', 'help', 'staff', '']","['think locker room could improve', 'think locker room could improve', 'think locker room could improve']"
13,39,13_music_think_improve_could,"['music', 'think', 'improve', 'could', 'work', 'equipment', 'help', 'staff', '', '']","['think music could improve', 'think music could improve', 'think music could improve']"
14,39,14_class_think_improve_could,"['class', 'think', 'improve', 'could', 'work', 'equipment', '', '', '', '']","['think class could improve', 'think class could improve', 'think class could improve']"
15,31,15_room_locker_dirty_overall,"['room', 'locker', 'dirty', 'overall', 'broken', 'frustrate', 'break', 'unhelpful', 'find', 'today']","['locker room dirty', 'locker room dirty', 'locker room dirty']"
16,29,16_weight_think_improve_could,"['weight', 'think', 'improve', 'could', '', '', '', '', '', '']","['think weight could improve', 'think weight could improve', 'think weight could improve']"
17,26,17_frustrating_crowd_overall_unhelpful,"['frustrating', 'crowd', 'overall', 'unhelpful', 'staff', 'broken', 'music', '', '', '']","['overall crowd unhelpful frustrating', 'overall crowd frustrating unhelpful', 'overall crowd unhelpful frustrating']"
18,26,18_dirty_crowd_overall_frustrating,"['dirty', 'crowd', 'overall', 'frustrating', 'class', 'weight', 'find', 'today', 'unhelpful', '']","['overall crowd dirty dirty', 'overall crowd dirty dirty', 'overall crowd dirty dirty']"
19,26,19_ac_crowd_find_today,"['ac', 'crowd', 'find', 'today', 'broken', 'frustrating', 'overall', 'unhelpful', '', '']","['ac crowd', 'ac crowd', 'ac crowd']"
20,22,20_treadmill_crowd_find_today,"['treadmill', 'crowd', 'find', 'today', 'overall', 'dirty', '', '', '', '']","['treadmill crowd', 'treadmill crowd', 'treadmill crowd']"
21,22,21_treadmill_dirty_overall_break,"['treadmill', 'dirty', 'overall', 'break', 'find', 'frustrate', 'today', 'broken', 'unhelpful', 'frustrating']","['treadmill dirty', 'treadmill dirty', 'treadmill dirty']"
22,21,22_music_dirty_broken_overall,"['music', 'dirty', 'broken', 'overall', 'unhelpful', 'frustrating', 'find', 'today', '', '']","['music dirty', 'music dirty', 'music dirty']"
23,20,23_dirty_weight_frustrate_find,"['dirty', 'weight', 'frustrate', 'find', 'overall', 'today', 'broken', 'frustrating', 'break', '']","['weight dirty', 'weight dirty', 'weight dirty']"
24,19,24_break_room_locker_broken,"['break', 'room', 'locker', 'broken', 'unhelpful', 'overall', 'find', 'today', 'frustrate', '']","['locker room break', 'locker room break', 'locker room break']"
25,19,25_class_crowd_frustrating_overall,"['class', 'crowd', 'frustrating', 'overall', 'find', 'unhelpful', 'today', 'broken', 'break', '']","['class crowd', 'class crowd', 'class crowd']"
26,18,26_broken_music_frustrating_overall,"['broken', 'music', 'frustrating', 'overall', 'unhelpful', 'break', '', '', '', '']","['music broken', 'music broken', 'music broken']"
27,18,27_average_found_staff_today,"['average', 'found', 'staff', 'today', 'overall', '', '', '', '', '']","['staff average', 'staff average', 'staff average']"
28,17,28_class_dirty_frustrate_find,"['class', 'dirty', 'frustrate', 'find', 'today', 'overall', 'unhelpful', '', '', '']","['class dirty', 'class dirty', 'class dirty']"
29,17,29_music_crowd_find_today,"['music', 'crowd', 'find', 'today', 'overall', 'unhelpful', '', '', '', '']","['music crowd', 'music crowd', 'music crowd']"
30,16,30_work_equipment_ac_think,"['work', 'equipment', 'ac', 'think', 'improve', 'could', '', '', '', '']","['think ac could improve equipment work', 'think ac could improve equipment work', 'think ac could improve equipment work']"
31,16,31_break_crowd_find_today,"['break', 'crowd', 'find', 'today', 'broken', 'overall', '', '', '', '']","['find crowd break today', 'find crowd break today', 'find crowd break today']"
32,15,32_satisfactory_music_overall_ok,"['satisfactory', 'music', 'overall', 'ok', 'decent', '', '', '', '', '']","['music satisfactory', 'music satisfactory', 'music satisfactory']"
33,15,33_weight_crowd_find_today,"['weight', 'crowd', 'find', 'today', 'break', 'overall', 'unhelpful', '', '', '']","['weight crowd', 'weight crowd', 'weight crowd']"
34,14,34_class_average_staff_ok,"['class', 'average', 'staff', 'ok', 'think', 'overall', 'improve', 'could', 'crowd', 'decent']","['think class could improve crowd', 'think class could improve crowd', 'think class could improve crowd']"
35,13,35_work_equipment_weight_think,"['work', 'equipment', 'weight', 'think', 'improve', 'could', '', '', '', '']","['think weight could improve equipment work', 'think weight could improve equipment work', 'think weight could improve equipment work']"
36,13,36_satisfactory_staff_decent_overall,"['satisfactory', 'staff', 'decent', 'overall', 'ok', '', '', '', '', '']","['staff satisfactory', 'staff satisfactory', 'staff satisfactory']"
37,12,37_class_unhelpful_frustrating_overall,"['class', 'unhelpful', 'frustrating', 'overall', '', '', '', '', '', '']","['class unhelpful', 'class unhelpful', 'class unhelpful']"
38,11,38_average_class_overall_,"['average', 'class', 'overall', '', '', '', '', '', '', '']","['class average', 'class average', 'class average']"
39,11,39_broken_crowd_overall_frustrating,"['broken', 'crowd', 'overall', 'frustrating', 'unhelpful', 'music', '', '', '', '']","['overall crowd crowd broken', 'overall crowd crowd broken', 'overall crowd broken crowd']"
40,11,40_ok_class_overall_,"['ok', 'class', 'overall', '', '', '', '', '', '', '']","['class ok', 'class ok', 'class ok']"
41,11,41_class_satisfactory_decent_average,"['class', 'satisfactory', 'decent', 'average', 'overall', '', '', '', '', '']","['class satisfactory', 'class satisfactory', 'class satisfactory']"
42,11,42_treadmill_break_broken_frustrate,"['treadmill', 'break', 'broken', 'frustrate', 'overall', 'unhelpful', '', '', '', '']","['treadmill break', 'overall treadmill break broken', 'overall treadmill break broken']"
